season,grand_prix,date,winner,constructor,laps,time,url
1950,Great Britain,1950-05-13,Nino FarinaFAR,Alfa Romeo,70,2:13:23.600,https://www.formula1.com/en/results/1950/races/94/great-britain/race-result
1950,Monaco,1950-05-21,Juan Manuel FangioFAN,Alfa Romeo,100,3:13:18.700,https://www.formula1.com/en/results/1950/races/95/monaco/race-result
1950,Indianapolis,1950-05-30,Johnnie  ParsonsPAR,Kurtis Kraft Offenhauser,138,2:46:55.970,https://www.formula1.com/en/results/1950/races/96/indianapolis/race-result
1950,Switzerland,1950-06-04,Nino FarinaFAR,Alfa Romeo,42,2:02:53.700,https://www.formula1.com/en/results/1950/races/97/switzerland/race-result
1950,Belgium,1950-06-18,Juan Manuel FangioFAN,Alfa Romeo,35,2:47:26.000,https://www.formula1.com/en/results/1950/races/98/belgium/race-result
1950,France,1950-07-02,Juan Manuel FangioFAN,Alfa Romeo,64,2:57:52.800,https://www.formula1.com/en/results/1950/races/99/france/race-result
1950,Italy,1950-09-03,Nino FarinaFAR,Alfa Romeo,80,2:51:17.400,https://www.formula1.com/en/results/1950/races/100/italy/race-result
1951,Switzerland,1951-05-27,Juan Manuel FangioFAN,Alfa Romeo,42,2:07:53.640,https://www.formula1.com/en/results/1951/races/101/switzerland/race-result
1951,Indianapolis,1951-05-30,Lee WallardWAL,Kurtis Kraft Offenhauser,200,3:57:38.050,https://www.formula1.com/en/results/1951/races/102/indianapolis/race-result
1951,Belgium,1951-06-17,Nino FarinaFAR,Alfa Romeo,36,2:45:46.200,https://www.formula1.com/en/results/1951/races/103/belgium/race-result
1951,France,1951-07-01,Juan Manuel FangioFAN,Alfa Romeo,77,3:22:11.000,https://www.formula1.com/en/results/1951/races/104/france/race-result
1951,France,1951-07-01,Luigi FagioliFAG,Alfa Romeo,,,https://www.formula1.com/en/results/1951/races/104/france/race-result
1951,Great Britain,1951-07-14,Jose Froilan GonzalezGON,Ferrari,90,2:42:18.200,https://www.formula1.com/en/results/1951/races/105/great-britain/race-result
1951,Germany,1951-07-29,Alberto AscariASC,Ferrari,20,3:23:03.300,https://www.formula1.com/en/results/1951/races/106/germany/race-result
1951,Italy,1951-09-16,Alberto AscariASC,Ferrari,80,2:42:39.300,https://www.formula1.com/en/results/1951/races/107/italy/race-result
1951,Spain,1951-10-28,Juan Manuel FangioFAN,Alfa Romeo,70,2:46:54.100,https://www.formula1.com/en/results/1951/races/108/spain/race-result
1952,Switzerland,1952-05-18,Piero  TaruffiTAR,Ferrari,62,3:01:46.100,https://www.formula1.com/en/results/1952/races/109/switzerland/race-result
1952,Indianapolis,1952-05-30,Troy RuttmanRUT,Kuzma Offenhauser,200,3:52:41.880,https://www.formula1.com/en/results/1952/races/110/indianapolis/race-result
1952,Belgium,1952-06-22,Alberto AscariASC,Ferrari,36,3:03:46.300,https://www.formula1.com/en/results/1952/races/111/belgium/race-result
1952,France,1952-07-06,Alberto AscariASC,Ferrari,77,3:00:00.000,https://www.formula1.com/en/results/1952/races/112/france/race-result
1952,Great Britain,1952-07-19,Alberto AscariASC,Ferrari,85,2:44:11.000,https://www.formula1.com/en/results/1952/races/113/great-britain/race-result
1952,Germany,1952-08-03,Alberto AscariASC,Ferrari,18,3:06:13.300,https://www.formula1.com/en/results/1952/races/114/germany/race-result
1952,Netherlands,1952-08-17,Alberto AscariASC,Ferrari,90,2:53:28.500,https://www.formula1.com/en/results/1952/races/115/netherlands/race-result
1952,Italy,1952-09-07,Alberto AscariASC,Ferrari,80,2:50:45.600,https://www.formula1.com/en/results/1952/races/116/italy/race-result
1953,Argentina,1953-01-18,Alberto AscariASC,Ferrari,97,3:01:04.600,https://www.formula1.com/en/results/1953/races/117/argentina/race-result
1953,Indianapolis,1953-05-30,Bill  Vukovich VUK,Kurtis Kraft Offenhauser,200,3:53:01.690,https://www.formula1.com/en/results/1953/races/118/indianapolis/race-result
1953,Netherlands,1953-06-07,Alberto AscariASC,Ferrari,90,2:53:35.800,https://www.formula1.com/en/results/1953/races/119/netherlands/race-result
1953,Belgium,1953-06-21,Alberto AscariASC,Ferrari,36,2:48:30.300,https://www.formula1.com/en/results/1953/races/120/belgium/race-result
1953,France,1953-07-05,Mike HawthornHAW,Ferrari,60,2:44:18.600,https://www.formula1.com/en/results/1953/races/121/france/race-result
1953,Great Britain,1953-07-18,Alberto AscariASC,Ferrari,90,2:50:00.000,https://www.formula1.com/en/results/1953/races/122/great-britain/race-result
1953,Germany,1953-08-02,Nino FarinaFAR,Ferrari,18,3:02:25.000,https://www.formula1.com/en/results/1953/races/123/germany/race-result
1953,Switzerland,1953-08-23,Alberto AscariASC,Ferrari,65,3:01:34.400,https://www.formula1.com/en/results/1953/races/124/switzerland/race-result
1953,Italy,1953-09-13,Juan Manuel FangioFAN,Maserati,80,2:49:45.900,https://www.formula1.com/en/results/1953/races/125/italy/race-result
1954,Argentina,1954-01-17,Juan Manuel FangioFAN,Maserati,87,3:00:55.800,https://www.formula1.com/en/results/1954/races/126/argentina/race-result
1954,Indianapolis,1954-05-31,Bill  Vukovich VUK,Kurtis Kraft Offenhauser,200,3:49:17.270,https://www.formula1.com/en/results/1954/races/127/indianapolis/race-result
